CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
2792-39-4;ND;0;0;0;sustancia natural;0;0.0406;0.1;C/C=C(C)/CCC=C(C)C;['(6E)-2,6-dimethylocta-2,6-diene', '2,6-dimethylocta-2,6-diene'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
120-57-0;floral;dulce;cereza;medio;aromatizante;0.003;0.5782;0.3;O=Cc1ccc2OCOc2c1;1,3-benzodioxole-5-carbaldehyde;"<img data-content=""rdkit/molecule"" src=""data:image/png"
134-20-3;frutal;floral;uva;0;aromatizante;0.016;0.0281;0.1;COC(=O)c1ccccc1N;Methyl 2-aminobenzoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
150-84-5;floral;rosa;verde;medio;aromatizante;0.05;1.061;0.3;CC(CCOC(C)=O)CCC=C(C)C;3,7-dimethyloct-6-enyl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
141-12-8;floral;rosa;jabonoso;medio;aromatizante;0.026;0.232;0.3;CC(=O)OC\C=C(C)/CCC=C(C)C;[(2Z)-3,7-dimethylocta-2,6-dienyl] acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
104-61-0;frutal;coco;cremoso;medio;aromatizante;0.009;0.124;0.3;CCCCC[C@H]1CCC(=O)O1;(5S)-5-pentyloxolan-2-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
57576-09-7;alcohólico;amaderado;menta;medio;aromatizante;0.025;0.0167;0.3;C[C@@H]1CC[C@H]([C@@H](C1)OC(C)=O)C(C)=C;[(1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexyl] acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
105-87-3;floral;rosa;lava0a;medio;aromatizante;0.026;1.1662;0.3;CC(=O)OC/C=C(C)/CCC=C(C)C;['[(2E)-3,7-dimethylocta-2,6-dienyl] acetate', '3,7-Dimethylocta-2,6-dienyl acetate'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
23726-93-4;frutal;manzana ;dulce;alto;aromatizante;0.005;0.06;0.5;C/C=C/C(=O)C1=C(C)C=CCC1(C)C;(E)-1-(2,6,6-trimethyl-1-cyclohexa-1,3-dienyl)but-2-en-1-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
514-51-2;ND;0;0;0;aromatizante;0.02;0.0481;0.1;CC1CCC2=C1CC3CCC2(C)C3(C)C;;"<img data-content=""rdkit/molecule"" src=""data:image/png"
